# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 151K of event 'cycles'
# Event count (approx.): 553633736228
#
# Children      Self  Symbol                                          IPC   [IPC Coverage]
# ........  ........  ..............................................  ....................
#
     0.04%     0.04%  [.] BN_zero_ex                                  -      -            
     0.04%     0.04%  [.] sha256_block_data_order_shaext              -      -            
     0.04%     0.00%  [.] ossl_ffc_params_validate_unverifiable_g     -      -            
     0.04%     0.00%  [.] sha256_internal_final                       -      -            
     0.04%     0.01%  [.] WPACKET_put_bytes__                         -      -            
     0.04%     0.01%  [.] get_parent_reseed_count                     -      -            
     0.04%     0.00%  [.] 0x6f34d401c831c09b                          -      -            
     0.04%     0.00%  [k] tick_nohz_handler                           -      -            
     0.04%     0.03%  [.] drbg_ctr_get_ctx_params                     -      -            
     0.04%     0.00%  [.] 0x0000000000000031                          -      -            
     0.04%     0.04%  [.] CRYPTO_free                                 -      -            
     0.04%     0.00%  [k] entry_SYSCALL_64_after_hwframe              -      -            
     0.04%     0.02%  [.] WPACKET_allocate_bytes                      -      -            
     0.04%     0.00%  [.] i2d_DSA_SIG                                 -      -            
     0.03%     0.01%  [k] do_syscall_64                               -      -            
     0.03%     0.00%  [.] 0x3318a754550557c5                          -      -            
     0.03%     0.00%  [k] update_process_times                        -      -            
     0.03%     0.00%  [.] 0xdf26d408eb19e968                          -      -            
     0.03%     0.00%  [.] ossl_cipher_generic_stream_update           -      -            
     0.03%     0.00%  [.] ossl_rsa_get_lcm                            -      -            
     0.03%     0.00%  [.] 0xb4ba03b91e224750                          -      -            
     0.03%     0.00%  [.] ossl_cipher_hw_generic_ctr                  -      -            
     0.03%     0.00%  [.] 0x1d5065f84b2ed49e                          -      -            
     0.03%     0.00%  [.] ECDSA_size                                  -      -            
     0.03%     0.00%  [.] 0xa870c7ad27d1474c                          -      -            
     0.03%     0.00%  [.] 0xe44fae4c9a6887ad                          -      -            
     0.03%     0.00%  [.] 0x2e0d5ee57b5ebca9                          -      -            
     0.03%     0.00%  [.] 0xa81a664bbc423001                          -      -            
     0.03%     0.00%  [.] 0x763827a1a0bb4c97                          -      -            
     0.03%     0.00%  [.] 0xa1e093026c69fb31                          -      -            
     0.03%     0.00%  [.] 0x7f6908353b281971                          -      -            
     0.03%     0.00%  [.] 0x638d3f84373f0701                          -      -            
     0.03%     0.00%  [.] 0xf8c59d506760fc87                          -      -            
     0.03%     0.00%  [.] EVP_MD_fetch                                -      -            
     0.03%     0.00%  [.] 0x47d3d590de52eb63                          -      -            
     0.03%     0.00%  [.] 0x34d4f7b0720000d8                          -      -            
     0.03%     0.00%  [.] 0x3db211976c90aecb                          -      -            
     0.03%     0.00%  [.] ossl_err_get_state_int                      -      -            
     0.03%     0.00%  [.] evp_generic_fetch                           -      -            
     0.03%     0.00%  [.] 0x422921cd7c0701a5                          -      -            
     0.03%     0.00%  [.] 0xa9958159596909b1                          -      -            
     0.03%     0.00%  [.] 0x7011a07cfb69c985                          -      -            
     0.03%     0.00%  [.] inner_evp_generic_fetch.constprop.0         -      -            
     0.03%     0.00%  [.] 0x5e031118032e037b                          -      -            
     0.03%     0.00%  [.] 0x68d734b0da37c5fd                          -      -            
     0.03%     0.03%  [.] bn_init                                     -      -            
     0.03%     0.00%  [.] BN_priv_rand_ex                             -      -            
     0.03%     0.00%  [.] 0xa771e02254ebea2b                          -      -            
     0.03%     0.00%  [.] 0x78a5636f43172f60                          -      -            
     0.03%     0.00%  [.] 0xfb3e580b54173ab5                          -      -            
     0.03%     0.00%  [.] 0x9868fe74c93778f7                          -      -            
     0.02%     0.00%  [.] 0x321a77707179c64b                          -      -            
     0.02%     0.00%  [.] 0x352e9b5d3016a810                          -      -            
     0.02%     0.00%  [.] 0x740de2d190e7bf9d                          -      -            
     0.02%     0.00%  [.] 0x2796eeb5744a95a0                          -      -            
     0.02%     0.01%  [.] bn_set_words                                -      -            
     0.02%     0.02%  [.] malloc_consolidate                          -      -            
     0.02%     0.00%  [.] 0x1be66761ab6b6ce4                          -      -            
     0.02%     0.00%  [.] 0x4e63099634053ae5                          -      -            
     0.02%     0.00%  [.] 0x4f8a5a7212b6e4db                          -      -            
     0.02%     0.00%  [.] 0x53168dc4f658c9ac                          -      -            
     0.02%     0.00%  [.] 0x00007ffefb59d970                          -      -            
