# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 152K of event 'cycles'
# Event count (approx.): 554455153411
#
# Children      Self  Symbol                                          IPC   [IPC Coverage]
# ........  ........  ..............................................  ....................
#
     0.01%     0.00%  [.] 0x5129acf892a43714                          -      -            
     0.01%     0.00%  [.] 0x336cc5167214b5d9                          -      -            
     0.01%     0.00%  [.] 0x0000000000003e01                          -      -            
     0.01%     0.00%  [.] 0x216e3bd52e151a9a                          -      -            
     0.01%     0.00%  [.] 0xa74dbd510f2b2279                          -      -            
     0.01%     0.00%  [.] 0x6576fa124324d027                          -      -            
     0.01%     0.01%  [.] malloc@plt                                  -      -            
     0.01%     0.00%  [.] RSA_size                                    -      -            
     0.01%     0.00%  [.] 0x1625af68a6cbed91                          -      -            
     0.01%     0.00%  [.] 0x0000000000000211                          -      -            
     0.01%     0.00%  [.] 0xa04f555950d8cc24                          -      -            
     0.01%     0.00%  [.] 0x9d9c8d699456afe2                          -      -            
     0.01%     0.00%  [.] 0xb45bc8632c3dc2d3                          -      -            
     0.01%     0.00%  [.] 0x938cba534ec4b203                          -      -            
     0.01%     0.00%  [.] 0x2fb27892370f518c                          -      -            
     0.01%     0.00%  [.] EC_POINT_new                                -      -            
     0.01%     0.00%  [.] 0x5efaeb8766b99561                          -      -            
     0.01%     0.00%  [.] 0x130e5495c69fdba0                          -      -            
     0.01%     0.00%  [.] ERR_set_mark                                -      -            
