# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 152K of event 'cycles'
# Event count (approx.): 389675809010
#
# Children      Self  Symbol                                         IPC   [IPC Coverage]
# ........  ........  .............................................  ....................
#
     0.04%     0.00%  [.] RAND_priv_bytes_ex                         -      -            
     0.04%     0.01%  [.] WPACKET_start_sub_packet_at_offset_len__   -      -            
     0.04%     0.04%  [.] aes_v8_ctr32_encrypt_blocks_unroll12_eor3  -      -            
     0.04%     0.00%  [.] BN_new                                     -      -            
     0.04%     0.01%  [.] WPACKET_allocate_bytes                     -      -            
     0.04%     0.03%  [.] drbg_ctr_get_ctx_params                    -      -            
     0.04%     0.01%  [.] ecp_nistz256_neg                           -      -            
     0.04%     0.04%  [.] BN_ucmp                                    -      -            
     0.04%     0.00%  [.] ECDSA_size                                 -      -            
     0.04%     0.00%  [.] i2d_DSA_SIG                                -      -            
     0.04%     0.01%  [.] bn_mul_normal                              -      -            
     0.04%     0.01%  [.] SHA512_Final                               -      -            
     0.04%     0.00%  [.] sha512_internal_final                      -      -            
     0.04%     0.03%  [.] evp_cipher_init_internal                   -      -            
     0.03%     0.03%  [.] ossl_sa_get                                -      -            
     0.03%     0.00%  [.] BN_BLINDING_invert_ex                      -      -            
     0.03%     0.00%  [.] bn_set_words                               -      -            
     0.03%     0.03%  [.] __GI___memcpy_sve                          -      -            
     0.03%     0.03%  [.] __GI___memset_generic                      -      -            
     0.03%     0.00%  [.] ossl_rsa_get_lcm                           -      -            
     0.03%     0.01%  [.] get_parent_reseed_count                    -      -            
     0.03%     0.00%  [.] BN_gcd                                     -      -            
     0.03%     0.01%  [.] WPACKET_close                              -      -            
     0.03%     0.00%  [.] BN_MONT_CTX_set_locked                     -      -            
     0.03%     0.02%  [.] WPACKET_reserve_bytes                      -      -            
     0.03%     0.00%  [.] WPACKET_put_bytes__                        -      -            
     0.03%     0.03%  [.] BN_is_zero                                 -      -            
     0.02%     0.00%  [.] inner_evp_generic_fetch.constprop.0        -      -            
     0.02%     0.00%  [.] evp_generic_fetch                          -      -            
     0.02%     0.00%  [.] BN_priv_rand_ex                            -      -            
     0.02%     0.00%  [.] BN_set_bit                                 -      -            
     0.02%     0.01%  [.] ossl_cipher_generic_block_update           -      -            
     0.02%     0.00%  [.] __posix_memalign                           -      -            
     0.02%     0.00%  [.] CRYPTO_aligned_alloc                       -      -            
     0.02%     0.00%  [.] EC_POINT_free                              -      -            
     0.02%     0.01%  [.] __time                                     -      -            
     0.02%     0.02%  [.] CRYPTO_free                                -      -            
     0.02%     0.00%  [.] _mid_memalign.constprop.0                  -      -            
     0.02%     0.00%  [.] EC_POINT_new                               -      -            
     0.02%     0.00%  [.] ossl_rsa_padding_check_PKCS1_type_2        -      -            
     0.02%     0.00%  [.] _int_memalign                              -      -            
     0.02%     0.02%  [.] BN_is_odd                                  -      -            
     0.02%     0.02%  [.] malloc_consolidate                         -      -            
     0.02%     0.00%  [.] CRYPTO_THREAD_read_lock                    -      -            
     0.02%     0.02%  [.] pthread_rwlock_rdlock@@GLIBC_2.34          -      -            
     0.02%     0.00%  [k] el0_svc_common.constprop.0                 -      -            
     0.02%     0.00%  [k] do_el0_svc                                 -      -            
     0.02%     0.02%  [.] CRYPTO_calloc                              -      -            
     0.02%     0.00%  [.] ECDSA_SIG_free                             -      -            
     0.02%     0.00%  [k] invoke_syscall                             -      -            
     0.02%     0.02%  [.] ecp_nistz256_scatter_w5                    -      -            
     0.02%     0.00%  [.] ossl_err_get_state_int                     -      -            
     0.02%     0.00%  [.] ossl_encode_der_length                     -      -            
     0.02%     0.02%  [.] bn_init                                    -      -            
     0.02%     0.00%  [.] evp_keymgmt_util_assign_pkey               -      -            
     0.02%     0.00%  [.] ossl_ec_GFp_simple_point_init              -      -            
     0.02%     0.00%  [.] ossl_cipher_hw_generic_ecb                 -      -            
     0.02%     0.00%  [.] RAND_bytes_ex                              -      -            
     0.02%     0.02%  [k] __task_pid_nr_ns                           -      -            
     0.02%     0.02%  [.] BN_consttime_swap                          -      -            
     0.01%     0.00%  [.] bn_sqr_fixed_top                           -      -            
     0.01%     0.00%  [.] BN_sqr                                     -      -            
     0.01%     0.01%  [.] BN_get_flags                               -      -            
     0.01%     0.00%  [.] ossl_decode_der_dsa_sig                    -      -            
     0.01%     0.00%  [.] d2i_ECDSA_SIG                              -      -            
     0.01%     0.01%  [.] CRYPTO_THREAD_get_local_ex                 -      -            
     0.01%     0.00%  [.] ossl_ec_GFp_simple_point_finish            -      -            
     0.01%     0.01%  [.] aes_v8_ecb_encrypt                         -      -            
     0.01%     0.00%  [.] CRYPTO_THREAD_unlock                       -      -            
     0.01%     0.01%  [.] bn_mod_add_fixed_top                       -      -            
     0.01%     0.00%  [.] ossl_ffc_generate_private_key              -      -            
